,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,passive,direction,Labels,Classification_US_l,Classification_US_nl,Classification_S_l,Classification_S_nl
113,0.003977251063565738,0.0,0.0,0.0,0.0,0.0,0.0,30.223088321211478,10.556522728199539,12.142738582446803,0.0,9.06651720052413,1.6749286239692907,29.00071810428393,0.8003803291734797,0.0,2.0072983166795266,0.3769249226662527,1.997346671778785,0.0,66.58510407447237,60.41770655897586,18.277373828424825,1.1243308831995773,74.34776564550512,8.149190436792125,15.20566703858804,14.758786927207959,15.13208450746806,0.0,0.011370674595091279,33.86218505263955,44.62601825374555,0.0,47.083666044774105,14.419659333503413,3.156967359853994,0.0,0.0,0.0,0.0,0.08459501519793632,0.0,0.0,0.5505977407697136,0.5505977407697136,18.852818903771134,5.53231061032488,71.57709942254473,0.05121262940809495,3.6051235931331385,5.151790360322132,0.0,0.0,0.0,0.0,6.052469207312107,34.70055116912998,0.0,0.0,0.0,0.0,0.0,3.535296447111914,7.0645565793003415,0.1437754440262596,0.0,0.0,9.733940537997738,0.0,26.675449606962474,31.595196203019253,0,225.0,225,225,225,180,225
102,0.0,0.5505977407697136,0.0,0.011370674595091279,0.0,0.0,0.0,7.342076749838604,23.999181367422505,9.049023403023584,0.0,21.847850789223063,0.0,15.298082448682635,0.0,13.075975933650469,25.427650012613597,3.9550149571067545,12.688245493273433,5.53231061032488,33.13106720493099,26.569839335831315,9.049023403023584,6.493217136158214,31.498069663631288,6.6096767026594385,14.919823405149472,18.480174071805052,14.657152162293045,0.1437754440262596,5.102485672984931,35.700179261214274,46.78649340870647,0.0,40.7359503841829,13.648130731667392,1.1243308831995773,0.0,3.7961373668852096,6.835343446549473,2.6030416452099,13.747877916384134,1.1011954815394271,5.956503517519079,0.047235378344529205,0.0,45.29751486060598,0.0,32.853831780313925,0.08459501519793632,0.003977251063565738,20.7857637235828,2.0318739298367343,0.0,2.007298316679526,0.0,0.024575613157207795,13.430737185627422,0.0,7.37906834533081,0.071810991501737,0.0,0.0,0.0,5.495315306260842,0.0,0.0,0.0,26.739509817770003,0.0,38.88219443277044,7.1151636517187455,0,270.0,270,270,270,270,270
60,0.0,0.0,3.156967359853994,0.0,0.0,0.0,0.0,10.939702952417614,11.416637037256152,9.681275350868656,0.0,21.209088318622584,27.236243786779983,2.091893331877463,8.77073117908965,2.5558062668653707,13.601687764238259,8.361139158063274,12.811112278181334,0.0,7.372435241966993,11.560412481282407,11.927698538943645,0.3655542480711615,0.14377544402625964,22.589178712601008,25.86001411960686,22.038486201572265,14.550833689237336,0.3655542480711615,11.416637037256152,27.415646152079276,22.996067053678548,0.0,29.45705094115084,15.791631139828112,0.6839950448170903,0.0,0.2810811598925216,0.0,12.027753166746384,7.588396796318452,5.53231061032488,0.0,17.606168256685375,6.872777433379252,19.182220705056427,0.1437754440262596,51.75835764461103,0.0,0.0,39.885080837383974,0.0,0.0,3.1569673598539936,0.0,1.5279981304323875,8.136579280370713,0.0,1.5279981304323875,0.0,0.0,0.0,8.23398211180038,6.495697977510282,0.0,0.0,0.0,23.562054847038194,0.0,20.582471627234472,10.773841171053212,0,315.0,315,315,315,315,0
213,0.0,0.0,0.0,0.0,0.0,4.910994783122865,0.0,14.278433570073902,15.326321770631592,5.019385590890964,0.0,30.974088155215018,27.29387434986423,20.331096136622026,9.811847790008981,0.4501492632690977,23.364955239454925,12.831927223187892,16.297335309928872,0.0,22.09613366499232,13.092695348550963,5.562589908129151,11.782313212346608,0.3655542480711614,7.346535960192409,28.03057345506667,21.238266482139903,10.92376614556184,2.007298316679526,0.14377544402625964,20.645843515429657,20.887439556245457,0.0,41.07792088848719,17.73489494788797,5.810901084497202,0.0,0.0,0.0,26.38373545436339,9.422853956163456,2.7666952355916004,3.156967359853994,40.6244087728519,28.888896397185004,18.33493013705854,2.2411440982275184,121.54995256084239,0.007954502127131476,0.0,26.396763671975435,0.0,0.0,1.3193189566339316,0.0,0.047235378344529205,0.0,0.0,0.0,0.0,0.0,0.0,0.8003803291734798,4.020509681471279,5.53231061032488,0.2338457815479924,0.0,11.47697444719565,0.0,20.12553640264431,1.2129031494610791,0,0.0,0,0,0,45,0
384,5.008014916295872,0.0,0.0,1.1243308831995773,0.0,0.0,0.0,15.877538031601729,11.35048508308453,7.563821183161242,0.0,28.93980060021964,29.48383928188486,31.171687333604904,6.279313075288441,8.415920437639803,10.133679708234382,6.998261873241621,7.54912851718264,0.0,23.04678714367442,31.427394095905516,0.8003803291734798,0.0245756131572078,3.6402919939745764,34.62727736702228,11.61004960391829,11.6496712918568,11.607353986820215,2.567176941460462,0.8117510037685709,14.096011162222242,29.704163048530543,0.0,50.836885348242475,20.566785849897816,33.89596829635161,0.0,12.66335958309151,9.64801134217912,29.465281884585774,21.888082381477616,4.414839039867581,0.0,9.576960155409362,10.100598619631276,12.61314501104354,12.91137895565569,155.0449851063689,0.011370674595091279,0.0,24.55920664631439,0.0,0.377621225574252,0.8547587961780724,0.0,0.0,6.756883846692561,0.0,0.0,6.408622120960278,0.0,5.008014916295872,6.408622120960278,13.872285481489023,7.086416362793468,0.0,0.0,0.3655542480711614,6.254737462131232,15.601400971065907,5.536287861388445,1,90.0,90_passive,90_passive,90_passive,90_passive,90_passive
339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058606052939620484,13.262759612710662,16.163321623156623,0.0,14.650516501194822,7.587751440959116,25.26213628453215,0.0,18.005203196253127,21.911786980989316,25.4888821513301,6.151491590953435,0.0,14.158163728937536,10.595639125487942,13.008255064291342,6.408622120960278,8.107577278224866,14.860758769878045,23.744885811834706,14.209462080879788,13.837538728939727,13.514342431860856,0.08459501519793632,7.154344289575078,30.963435532393614,0.0,18.569091790696422,6.254737462131232,0.071810991501737,5.956503517519081,1.5319753814959531,0.0245756131572078,5.008014916295873,0.0,6.419992795555369,0.0,23.87058566474607,7.042079267529904,9.886942861468627,0.0,90.03187298590431,15.262875813852645,0.0,3.7906411509868527,0.08459501519793632,0.0,6.681217106681665,0.0,0.2338457815479924,12.509474924262465,0.0,7.298280376740089,0.0,0.0,0.0,0.0,26.1270994953565,0.0,0.0,0.0,0.0,0.0,20.705949131137103,0.0,1,180.0,180_passive,225_passive,225_passive,180_passive,225_passive
76,4.414839039867581,0.0,0.0,0.08459501519793632,0.08459501519793632,0.0,0.0,1.279477001820928,22.71770233897601,14.323188107066363,0.2155864355279966,47.273149036986865,10.212085151158707,18.668888805693935,6.417285954696296,1.5279981304323875,28.733731243695406,3.1609446109175603,23.236107175344454,0.011370674595091279,25.897061542375592,14.340464718796339,1.76184391198038,2.0072983166795266,0.6239756427763616,15.867374415900699,17.84717699312741,21.12321193537201,13.234315009660813,6.493434911069682,1.5279981304323875,36.54933086227023,18.010132695178815,0.0,40.86328549450721,1.1396788088582344,1.65936671128658,0.0,0.0,0.0,33.96221220013155,0.0,0.0,0.0,17.696793599305277,8.864197685236503,23.854248553153862,0.8003803291734797,122.10534078416093,1.3509780699431932,0.0,18.157873545978543,11.913007035038158,0.0,6.254737462131232,0.0,4.083804397297758,17.619179669539893,0.0,0.0,0.0,0.0,0.0,3.440781611236787,9.809880651175718,0.0,0.0,0.0,3.2415623750519305,0.0,22.312305142768327,11.930823516482372,0,45.0,45,0,0,45,45
458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.895690337650526,4.880336228795335,9.034548163835398,0.08459501519793632,24.77645965073654,11.805278059793482,12.902057032029958,6.408622120960278,6.419992795555369,12.864536695416847,17.84613862991575,7.720071943398891,0.003977251063565738,1.6165703966938896,5.151790360322132,0.0,0.0,13.20659154647236,27.21588089878517,11.05228855751615,14.3969501646295,3.0528951019960897,9.246965432214981,7.961195864549873,9.642471686052984,27.707292201441152,0.0,22.000232203681033,0.0,14.040405195089699,4.414839039867581,10.371342557386662,0.8003803291734797,0.003977251063565738,6.507101258288794,4.414839039867581,2.5558062668653707,25.6346568248952,18.61531913257436,23.58487171554871,0.0,143.53587506891486,10.328036794848682,5.66778328542073,12.934525952885751,0.8003803291734798,0.0,19.26612416044063,0.0,7.055117791304711,5.8146193986602155,0.0,4.426770793058278,0.14377544402625964,0.0,18.465978441781548,0.0,12.944635167688537,12.61634197965845,0.0,0.0,1.1243308831995773,0.0,32.06835471646051,0.0,1,135.0,135_passive,135_passive,135_passive,135_passive,135_passive
224,5.008014916295873,0.0,0.0,0.0,0.0,0.0,0.0,35.23973667540582,10.711331498434975,9.580937406472929,0.1437754440262596,5.605608167169986,19.107855905910064,38.47421397547549,2.0072983166795266,18.242455403115603,6.774176369031438,0.08459501519793632,4.167566073653106,0.0,69.77814323207501,31.62535331797784,14.13384456565371,5.008014916295873,88.50542699164417,5.308690397748966,13.372579785630966,22.373243595127047,12.219874885008158,5.412000171427454,3.8112395130804946,17.849617132051957,63.60665480075766,0.0,43.561385955331275,6.334441074374888,14.182076829512676,0.2338457815479924,0.0,11.764898762988432,18.20704086801148,5.012672158981824,6.408622120960278,6.254737462131232,0.024575613157207795,0.0,17.16778073367964,12.741313060458635,46.09801632910841,5.008014916295872,7.499813024140089,9.075688806764662,6.555903547138235,0.0,9.54921339702299,0.0,15.245317816718796,42.359139456840694,0.0,6.254737462131232,2.018668991274618,0.0,0.0,4.365893258251508,8.624527213418808,1.5279981304323875,0.0,0.024575613157207795,7.118398001822778,0.0,22.132068675810903,26.435224077576496,0,225.0,225,225,225,225,225
328,11.913007035038158,0.0,0.0,0.0,0.0,0.0,0.0,30.061659625021488,17.821715383349197,20.1978434854852,0.0,47.74130356835868,48.448696707654044,12.010221454859888,0.0,9.743167417442367,0.003977251063565738,18.382211902037266,9.314710974059572,0.0,44.89274168442963,12.81992628868619,7.818261014250961,0.0,79.42469908182701,0.047235378344529205,16.434965446110414,27.266637143570552,22.522975592318733,5.579545988669409,0.3655542480711615,16.605140699179028,33.05522172344315,0.0,39.61338421347896,0.0,21.084628304305067,6.507101258288793,19.718477374396223,0.8003803291734797,64.24015801350964,30.587097878636445,0.0,0.0,14.416534491766162,0.14377544402625964,28.45208144190461,15.788243201222949,33.998325011358084,9.94714965019246,0.0,26.72927924551881,0.0,5.53231061032488,19.653796403993827,0.0,6.339332477329169,0.2810811598925216,0.0,2.474989879775511,5.53231061032488,0.0,0.0,7.9366202513926645,22.58258353703697,5.03259052945308,0.0,0.0,20.657498840397206,0.0,11.366018969638413,26.540259936662626,1,315.0,315_passive,315_passive,315_passive,315_passive,315_passive
